Год постройки,Парковка,Пассажирский лифт,Санузел,Способ продажи,Двор,Тип дома,Долгота,Цена,Грузовой лифт,Тип комнат,Количество комнат,Метро (минут),В доме,Ремонт,Этаж (текущий),Площадь кухни,Широта,Этажей в доме,Общая площадь,Район,Расстояние до центра,Доля жилой площади,Есть консьерж,Есть мусоропровод,Есть газ,Детская площадка,Спорт площадка,Закрытая территория
1935.0,открытая во дворе,1,совмещенный,свободная,спортивная площадка,кирпичный,37.607664,3133000,1,Unknown,0.0,8.0,Unknown,косметический,2.0,,55.795929,5.0,14.8,4,0.041340787813007256,0.5,0,0,0,0,1,0
1999.0,за шлагбаумом во дворе,1,совмещенный,свободная,"детская площадка, спортивная площадка",кирпичный,37.69361496,16900000,1,Unknown,1.0,13.0,Unknown,евро,2.0,8.0,55.77326202,10.0,38.0,4,0.0779948478188213,0.4947368421052632,0,0,0,1,1,0
2024.0,подземная,1,совмещенный,свободная,"закрытая территория, детская площадка, спортивная площадка",монолитно-кирпичный,37.458687,41500000,1,изолированные,3.0,13.0,Unknown,требует ремонта,2.0,19.2,55.748853,19.0,86.7,6,0.1590647741582082,,0,0,0,1,1,1
1850.0,Unknown,0,совмещенный,свободная,Unknown,кирпичный,37.659838,5800000,0,Unknown,0.0,8.0,Unknown,требует ремонта,1.0,,55.746532,3.0,16.1,5,0.0432428545311219,0.8695652173913043,0,0,0,0,0,0
,открытая во дворе,1,совмещенный,Unknown,"детская площадка, спортивная площадка",монолитный,37.30275,5600000,1,Unknown,0.0,,Unknown,Unknown,2.0,,55.54776,17.0,22.3,6,0.37737403739526326,0.5515695067264574,0,0,0,1,1,0
1948.0,"открытая во дворе, за шлагбаумом во дворе",1,совмещенный,свободная,"закрытая территория, детская площадка, спортивная площадка",кирпичный,37.67185593,19500000,0,изолированные,2.0,8.0,газ,евро,8.0,6.2,55.73623276,8.0,53.0,5,0.0576765361423703,0.6584905660377358,0,0,1,1,1,1
1958.0,"открытая во дворе, за шлагбаумом во дворе",0,раздельный,свободная,"закрытая территория, детская площадка, спортивная площадка",кирпичный,37.558406846452414,16450000,0,изолированные,2.0,8.0,газ,косметический,1.0,7.5,55.80980837551648,5.0,57.0,3,0.08012948304361991,0.6140350877192983,0,0,1,1,1,1
1828.0,открытая во дворе,0,совмещенный,свободная,"детская площадка, спортивная площадка",кирпичный,37.629125,16100000,0,Unknown,0.0,8.0,Unknown,дизайнерский,1.0,,55.768339,3.0,15.9,4,0.017030917356381393,0.779874213836478,0,0,0,1,1,0
2025.0,подземная,2,совмещенный,свободная,"закрытая территория, детская площадка, спортивная площадка",монолитно-кирпичный,37.52665855830935,29950000,2,Unknown,,8.0,консьерж,дизайнерский,22.0,,55.75342652344063,30.0,42.0,3,0.0909724090466571,,1,0,0,1,1,1
1961.0,Unknown,0,совмещенный,свободная,Unknown,кирпичный,37.672693,2650000,0,Unknown,0.0,8.0,Unknown,требует ремонта,1.0,,55.733599,10.0,10.7,5,0.05939800543789368,0.7663551401869159,0,0,0,0,0,0
,"подземная, за шлагбаумом во дворе",2,совмещенный,свободная,"закрытая территория, детская площадка, спортивная площадка",монолитно-кирпичный,37.5409010338537,31300000,2,"изолированные, смежные",2.0,18.0,"консьерж, мусоропровод",косметический,34.0,20.0,55.73250159104131,41.0,49.0,3,0.08015951140019495,0.40816326530612246,1,1,0,1,1,1
1968.0,открытая во дворе,1,совмещенный,свободная,"детская площадка, спортивная площадка",кирпичный,37.791253,12995000,0,изолированные,3.0,13.0,"мусоропровод, газ",евро,1.0,6.0,55.707537,9.0,57.6,1,0.1802350731073116,0.7447916666666666,0,1,1,1,1,0
,за шлагбаумом во дворе,1,раздельный,свободная,"закрытая территория, детская площадка, спортивная площадка",кирпичный,37.53813553,31999999,0,изолированные,2.0,5.0,газ,косметический,7.0,9.7,55.69153214,9.0,72.0,0,0.10220058620850184,0.5930555555555556,0,0,1,1,1,1
2024.0,"подземная, наземная многоуровневая, открытая во дворе, за шлагбаумом во дворе",3,совмещенный,свободная,"закрытая территория, детская площадка, спортивная площадка",монолитный,37.50748444,16000000,1,Unknown,1.0,13.0,"консьерж, мусоропровод",дизайнерский,15.0,15.0,55.78292847,21.0,30.0,3,0.1134080704299983,0.43333333333333335,1,1,0,1,1,1
,Unknown,0,раздельный,свободная,Unknown,кирпичный,37.454949643980655,12490000,0,смежные,2.0,25.5,Unknown,требует ремонта,1.0,8.0,55.79204325115913,5.0,42.0,2,0.16663946581708794,,0,0,0,0,0,0
1958.0,за шлагбаумом во дворе,0,раздельный,альтернативная,"закрытая территория, детская площадка, спортивная площадка",кирпичный,37.63835907,17800000,0,смежные,2.0,5.0,газ,косметический,1.0,6.9,55.72694397,5.0,44.7,5,0.03554728477149376,0.6017897091722595,0,0,1,1,1,1
,открытая во дворе,1,Unknown,свободная,"детская площадка, спортивная площадка",кирпичный,37.591189,42000000,0,смежные,2.0,8.0,Unknown,евро,2.0,15.0,55.730943,6.0,75.0,3,0.036268600331416496,0.6666666666666666,0,0,0,1,1,0
